"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
11640000000000	664100	884750
11660000000000	675250	882400
11680000000000	678700	909150
11700000000000	681650	906400
11720000000000	693000	897000
11740000000000	665400	893550
11760000000000	659600	887100
11780000000000	673550	885700
11800000000000	660500	877500
11820000000000	663950	873700
11840000000000	657750	872250
11860000000000	648250	871300
11880000000000	650650	864900
11900000000000	647400	849050
11920000000000	657900	853200
11940000000000	649300	853750
11960000000000	668300	879150
11980000000000	655400	874950
12000000000000	647350	847000
12020000000000	657350	880450
12040000000000	666400	878500
12060000000000	689800	887000
12080000000000	673400	883250
12100000000000	666100	871800
12120000000000	687200	884800
12140000000000	655350	881750
12160000000000	678500	871450
12180000000000	653850	883900
12200000000000	653400	866150
12220000000000	655100	872300
12240000000000	675050	892950
12260000000000	671150	894200
12280000000000	661050	875400
12300000000000	669900	886000
12320000000000	671450	886300
12340000000000	675500	881300
12360000000000	679500	884650
12380000000000	675250	891450
12400000000000	663300	876150
12420000000000	668150	882750
12440000000000	655750	872350
12460000000000	661250	877000
12480000000000	666350	870650
12500000000000	666550	885100
12520000000000	660400	881150
12540000000000	669700	891450
12560000000000	662500	869850
12580000000000	667250	867350
12600000000000	663050	882650
12620000000000	673250	868000
12640000000000	654850	862150
12660000000000	662600	865750
12680000000000	666650	876550
12700000000000	671000	886700
12720000000000	668050	883650
12740000000000	674050	900300
12760000000000	670750	888700
12780000000000	678100	904450
12800000000000	680800	892150
12820000000000	686950	895650
12840000000000	673750	891500
12860000000000	678000	888350
12880000000000	661450	870050
12900000000000	671550	879700
12920000000000	673100	870700
12940000000000	662700	879900
12960000000000	681850	880050
12980000000000	680900	892700
13000000000000	673650	898350
13020000000000	669900	890150
13040000000000	685200	888050
13060000000000	670400	878700
13080000000000	652000	870650
13100000000000	673400	883850
13120000000000	657550	873200
13140000000000	664200	883100
13160000000000	665500	867550
13180000000000	661750	864950
13200000000000	673700	877900
13220000000000	675100	868700
13240000000000	666200	876850
13260000000000	681600	873200
13280000000000	667450	880050
13300000000000	661250	878900
13320000000000	659100	871750
13340000000000	671900	873900
13360000000000	654050	871350
13380000000000	648050	854000
13400000000000	655600	868700
13420000000000	653250	856400
13440000000000	654800	865500
13460000000000	677800	877000
13480000000000	675150	886300
13500000000000	680400	886300
13520000000000	689250	884150
13540000000000	670800	885250
13560000000000	654950	876200
13580000000000	665600	888200
13600000000000	669750	895700
13620000000000	685500	900300
13640000000000	667800	876200
13660000000000	673000	885050
13680000000000	664550	878700
13700000000000	678400	889500
13720000000000	681850	902400
13740000000000	673950	891250
13760000000000	680950	894050
13780000000000	683050	899950
13800000000000	675600	899250
13820000000000	675900	898050
13840000000000	663750	878050
13860000000000	658100	866400
13880000000000	668250	887950
13900000000000	658500	880700
13920000000000	672450	883800
13940000000000	664400	885300
13960000000000	654750	875550
13980000000000	658750	887500
14000000000000	667700	875450
14020000000000	671900	878700
14040000000000	670950	888950
14060000000000	671950	897250
14080000000000	673800	883050
14100000000000	656800	869150
14120000000000	675550	882650
14140000000000	643600	862800
14160000000000	658650	872150
14180000000000	682150	885300
14200000000000	684200	895600
14220000000000	675000	916350
14240000000000	686450	906500
14260000000000	669950	898850
14280000000000	672300	889200
14300000000000	663300	896400
14320000000000	663850	894250
14340000000000	677150	901550
14360000000000	666100	880250
14380000000000	678450	898000
14400000000000	666000	872650
14420000000000	675650	887200
14440000000000	668000	859500
14460000000000	672450	882400
14480000000000	677400	895350
14500000000000	659200	876500
14520000000000	666400	894850
14540000000000	675600	875600
14560000000000	676450	895200
14580000000000	665350	871850
14600000000000	672150	896300
14620000000000	674050	893200
14640000000000	668950	884550
14660000000000	667450	877700
14680000000000	660050	887850
14700000000000	666900	890550
14720000000000	686700	891300
14740000000000	657350	889300
14760000000000	662800	890150
14780000000000	662750	892700
14800000000000	682000	906650
14820000000000	667400	889600
14840000000000	661750	869900
14860000000000	651850	857150
14880000000000	664400	875850
14900000000000	659650	866850
14920000000000	661250	858200
14940000000000	652800	872250
14960000000000	641250	872450
14980000000000	662650	865200
15000000000000	677700	886450
15020000000000	676000	891450
15040000000000	672400	896000
15060000000000	666650	898050
15080000000000	689800	907450
15100000000000	678400	895850
15120000000000	689350	908450
15140000000000	679450	898700
15160000000000	671000	895250
15180000000000	691050	893250
15200000000000	688400	892400
15220000000000	666800	879750
15240000000000	677600	897950
15260000000000	676900	902900
15280000000000	685700	894700
15300000000000	682150	901550
15320000000000	673500	887150
15340000000000	669650	880150
15360000000000	671700	884000
15380000000000	660300	896100
15400000000000	665650	896150
15420000000000	677800	882700
15440000000000	674500	889200
15460000000000	679450	899500
15480000000000	680300	900700
15500000000000	691350	919550
15520000000000	686800	911500
15540000000000	677700	903650
15560000000000	677550	915350
15580000000000	680600	901600
15600000000000	675450	890500
15620000000000	672300	907450
15640000000000	670000	895350
15660000000000	672350	884700
15680000000000	679000	892650
15700000000000	659400	881850
15720000000000	675050	905300
15740000000000	670600	895150
15760000000000	673300	910550
15780000000000	695000	911950
15800000000000	702850	909250
15820000000000	675350	889700
15840000000000	684500	909250
15860000000000	670350	906050
15880000000000	683300	898200
15900000000000	684250	872400
15920000000000	664400	883200
15940000000000	659600	869200
15960000000000	654850	858350
15980000000000	652750	855400
16000000000000	668500	889500
16020000000000	663450	872800
16040000000000	669550	885500
16060000000000	654700	870600
16080000000000	664150	880500
16100000000000	663400	865300
16120000000000	677050	875850
16140000000000	672600	882150
16160000000000	667250	892900
16180000000000	659550	864450
16200000000000	671150	888300
16220000000000	666900	880250
16240000000000	684800	900700
16260000000000	677100	885250
16280000000000	694450	916800
16300000000000	686700	908450
16320000000000	675300	890100
16340000000000	680350	876500
16360000000000	660000	864500
16380000000000	679150	876750
16400000000000	652300	864600
16420000000000	668400	866500
16440000000000	657850	874450
16460000000000	674750	883650
16480000000000	668200	881900
16500000000000	685300	888550
16520000000000	670250	899750
16540000000000	670800	881500
16560000000000	662650	886500
16580000000000	663000	886950
16600000000000	673050	885750
16620000000000	667500	874900
16640000000000	651850	848950
16660000000000	652650	854700
16680000000000	650650	872550
16700000000000	659050	896850
16720000000000	672650	884500
16740000000000	675900	902600
16760000000000	690900	908550
16780000000000	680850	908400
16800000000000	666500	902250
16820000000000	657750	882750
16840000000000	655700	878100
16860000000000	676700	871400
16880000000000	670700	878900
16900000000000	664900	873250
16920000000000	668800	884800
16940000000000	673200	889900
16960000000000	688100	900800
16980000000000	680050	891500
17000000000000	668750	890150
17020000000000	682500	916550
17040000000000	665750	883150
17060000000000	689650	899600
17080000000000	689700	905450
17100000000000	686650	909300
17120000000000	697750	891750
17140000000000	680000	883200
17160000000000	673900	881250
17180000000000	663500	874900
