Wavelength,Intensity,ROI,Frame,Row,Column
480.91745765377846,30575,1,1,0,172
481.17772247530212,30585,1,1,0,173
481.43798530807084,30613,1,1,0,174
481.69824615090175,30623,1,1,0,175
481.95850500261179,30575,1,1,0,176
482.21876186201814,30603,1,1,0,177
482.47901672793779,30521,1,1,0,178
482.73926959918811,30608,1,1,0,179
482.99952047458612,30581,1,1,0,180
483.25976935294904,30553,1,1,0,181
483.52001623309428,30606,1,1,0,182
483.78026111383912,30611,1,1,0,183
484.040503994001,30577,1,1,0,184
484.30074487239733,30595,1,1,0,185
484.56098374784534,30569,1,1,0,186
484.82122061916289,30592,1,1,0,187
485.08145548516717,30554,1,1,0,188
485.34168834467607,30574,1,1,0,189
485.60191919650686,30580,1,1,0,190
485.86214803947752,30598,1,1,0,191
486.12237487240566,30564,1,1,0,192
486.38259969410905,30621,1,1,0,193
486.6428225034054,30568,1,1,0,194
486.90304329911265,30564,1,1,0,195
487.16326208004858,30625,1,1,0,196
487.423478845031,30593,1,1,0,197
487.68369359287823,30607,1,1,0,198
487.94390632240794,30589,1,1,0,199
488.20411703243826,30548,1,1,0,200
488.46432572178747,30536,1,1,0,201
488.72453238927335,30553,1,1,0,202
488.98473703371445,30635,1,1,0,203
489.24493965392867,30592,1,1,0,204
489.50514024873439,30523,1,1,0,205
489.76533881695,30557,1,1,0,206
490.02553535739366,30583,1,1,0,207
490.28572986888389,30596,1,1,0,208
490.545922350239,30616,1,1,0,209
490.80611280027767,30616,1,1,0,210
491.06630121781814,30624,1,1,0,211
491.32648760167905,30593,1,1,0,212
491.58667195067915,30580,1,1,0,213
491.84685426363694,30586,1,1,0,214
492.10703453937117,30618,1,1,0,215
492.36721277670051,30613,1,1,0,216
492.6273889744437,30640,1,1,0,217
492.8875631314196,30608,1,1,0,218
493.14773524644704,30499,1,1,0,219
493.40790531834489,30593,1,1,0,220
493.66807334593221,30541,1,1,0,221
493.92823932802781,30591,1,1,0,222
494.18840326345094,30596,1,1,0,223
494.44856515102049,30608,1,1,0,224
494.70872498955555,30643,1,1,0,225
494.96888277787525,30613,1,1,0,226
495.22903851479884,30644,1,1,0,227
495.48919219914586,30615,1,1,0,228
495.74934382973515,30597,1,1,0,229
496.00949340538614,30501,1,1,0,230
496.26964092491829,30622,1,1,0,231
496.529786387151,30651,1,1,0,232
496.78992979090361,30633,1,1,0,233
497.05007113499585,30629,1,1,0,234
497.3102104182471,30580,1,1,0,235
497.57034763947684,30605,1,1,0,236
497.83048279750489,30592,1,1,0,237
498.09061589115078,30634,1,1,0,238
498.35074691923444,30631,1,1,0,239
498.61087588057529,30615,1,1,0,240
498.87100277399344,30613,1,1,0,241
499.13112759830858,30578,1,1,0,242
499.39125035234059,30616,1,1,0,243
499.6513710349094,30593,1,1,0,244
499.91148964483517,30554,1,1,0,245
500.1716061809376,30580,1,1,0,246
500.43172064203696,30555,1,1,0,247
500.6918330269533,30601,1,1,0,248
500.95194333450667,30600,1,1,0,249
501.2120515635176,30576,1,1,0,250
501.47215771280594,30621,1,1,0,251
501.73226178119211,30582,1,1,0,252
501.9923637674965,30649,1,1,0,253
502.25246367053938,30658,1,1,0,254
502.51256148914121,30616,1,1,0,255
502.77265722212235,30629,1,1,0,256
503.03275086830342,30584,1,1,0,257
503.29284242650488,30586,1,1,0,258
503.55293189554737,30602,1,1,0,259
503.81301927425147,30606,1,1,0,260
504.07310456143796,30627,1,1,0,261
504.33318775592738,30563,1,1,0,262
504.59326885654059,30579,1,1,0,263
504.85334786209842,30524,1,1,0,264
505.11342477142159,30594,1,1,0,265
505.37349958333118,30607,1,1,0,266
505.633572296648,30543,1,1,0,267
505.893642910193,30581,1,1,0,268
506.15371142278741,30509,1,1,0,269
506.413777833252,30575,1,1,0,270
506.673842140408,30598,1,1,0,271
506.93390434307673,30585,1,1,0,272
507.19396444007918,30617,1,1,0,273
507.45402243023665,30539,1,1,0,274
507.71407831237053,30623,1,1,0,275
507.9741320853019,30673,1,1,0,276
508.23418374785251,30616,1,1,0,277
508.49423329884348,30618,1,1,0,278
508.75428073709634,30603,1,1,0,279
509.01432606143266,30611,1,1,0,280
509.274369270674,30593,1,1,0,281
509.534410363642,30612,1,1,0,282
509.794449339158,30655,1,1,0,283
510.05448619604414,30634,1,1,0,284
510.3145209331218,30584,1,1,0,285
510.574553549213,30566,1,1,0,286
510.83458404313933,30614,1,1,0,287
511.09461241372281,30565,1,1,0,288
511.35463865978534,30591,1,1,0,289
511.61466278014888,30585,1,1,0,290
511.87468477363535,30593,1,1,0,291
512.13470463906685,30654,1,1,0,292
512.39472237526547,30594,1,1,0,293
512.65473798105336,30624,1,1,0,294
512.9147514552526,30662,1,1,0,295
513.17476279668551,30635,1,1,0,296
513.43477200417431,30598,1,1,0,297
513.69477907654152,30608,1,1,0,298
513.95478401260914,30611,1,1,0,299
514.21478681119993,30599,1,1,0,300
